Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
4 RUE VICTOR FORT,69384,Lyon 4e Arrondissement,69384000AT0088,45.77535,4.831602,0.7440190909090909,,4 Rue Victor Fort 69004 Lyon,housenumber,69384_7395_00004,4,4 Rue Victor Fort,Rue Victor Fort,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
9 RUE NEUVE,69381,Lyon 1er Arrondissement,69381000AV0087,45.765267,4.835124,0.6750186602870812,,9 Rue Neuve 69001 Lyon,housenumber,69381_5005_00009,9,9 Rue Neuve,Rue Neuve,69001,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69381,,,Lyon 1er Arrondissement,ok
40 RUE DE CUIRE,69384,Lyon 4e Arrondissement,69384000AT0168,45.77771,4.830051,0.7330376679841897,,40 Rue de Cuire 69004 Lyon,housenumber,69384_2025_00040,40,40 Rue de Cuire,Rue de Cuire,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 BOULEVARD DES CANUTS,69384,Lyon 4e Arrondissement,69384000AP0027,45.778488,4.827685,0.793085102639296,,41 Boulevard des Canuts 69004 Lyon,housenumber,69384_1215_00041,41,41 Boulevard des Canuts,Boulevard des Canuts,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
44 RUE DENFERT ROCHEREAU,69384,Lyon 4e Arrondissement,69384000AO0043,45.776519,4.826204,0.7993272727272727,,44 Rue Denfert-Rochereau 69004 Lyon,housenumber,69384_2130_00044,44,44 Rue Denfert-Rochereau,Rue Denfert-Rochereau,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 QUAI JOSEPH GILLET,69384,Lyon 4e Arrondissement,69384000AD0118,45.777021,4.810597,0.78255131661442,,41 Quai Joseph Gillet 69004 Lyon,housenumber,69384_3901_00041,41,41 Quai Joseph Gillet,Quai Joseph Gillet,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 RUE DE BELFORT,69384,Lyon 4e Arrondissement,69384000AX0034,45.779624,4.834507,0.7514245454545454,,41 Rue de Belfort 69004 Lyon,housenumber,69384_0775_00041,41,41 Rue de Belfort,Rue de Belfort,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 RUE DU MAIL,69384,Lyon 4e Arrondissement,69384000AS0080,45.779028,4.833175,0.7210015702479339,,41 Rue du Mail 69004 Lyon,housenumber,69384_4435_00041,41,41 Rue du Mail,Rue du Mail,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 RUE EUGENE PONS,69384,Lyon 4e Arrondissement,69384000AZ0057,45.781453,4.838004,0.760848881118881,,41 Rue Eugène Pons 69004 Lyon,housenumber,69384_2620_00041,41,41 Rue Eugène Pons,Rue Eugène Pons,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
42 QUAI JOSEPH GILLET | 42 QUA JOSEPH GILLET,69384,Lyon 4e Arrondissement,69384000AD0119,45.777188,4.810731,0.47973,0.3014246280991735,42 Quai Joseph Gillet 69004 Lyon,housenumber,69384_3901_00042,42,42 Quai Joseph Gillet,Quai Joseph Gillet,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
42 RUE JACQUARD,69384,Lyon 4e Arrondissement,69384000AO0066,45.776054,4.825805,0.7336249407114624,,42 Rue Jacquard 69004 Lyon,housenumber,69384_3630_00042,42,42 Rue Jacquard,Rue Jacquard,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
43 QUAI JOSEPH GILLET,69384,Lyon 4e Arrondissement,69384000AD0157,45.777578,4.810831,0.78255131661442,,43 Quai Joseph Gillet 69004 Lyon,housenumber,69384_3901_00043,43,43 Quai Joseph Gillet,Quai Joseph Gillet,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
43 RUE DE CUIRE | 41 RUE DE CUIRE,69384,Lyon 4e Arrondissement,69384000AS0183,45.778624,4.829501,0.4573713053613053,,43 Rue de Cuire 69004 Lyon,housenumber,69384_2025_00043,43,43 Rue de Cuire,Rue de Cuire,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
